filepath,rt,drr,cte,edt
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_1_sweep_1.wav,1.8818820861678,-3.24077070732115,18.9459838476569,0.0809523809523809
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_1_sweep_2.wav,1.79475056689342,-3.2403977286509,18.948890313191,0.0810204081632653
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_1_sweep_3.wav,1.87027210884354,-3.24458776629423,18.9564581023235,0.0810204081632653
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_1_sweep_4.wav,1.79962585034014,-3.2469461331812,18.9512655777741,0.0810884353741497
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_2_sweep_1.wav,2.19353741496599,-5.08312324026119,19.2521646926403,0.10891156462585
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_2_sweep_2.wav,2.04292517006803,-5.08520977098176,19.2490371092948,0.108775510204082
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_2_sweep_3.wav,2.1171201814059,-5.08380477982168,19.2584176031231,0.108843537414966
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_2_sweep_4.wav,2.09176870748299,-5.0938210317865,19.2429767900994,0.108775510204082
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_3_sweep_1.wav,2.01481859410431,-2.19727816848587,19.7893522071481,0.0746938775510204
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_3_sweep_2.wav,1.99167800453515,-2.19977111859321,19.8047302270922,0.0746938775510204
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_3_sweep_3.wav,2.07800453514739,-2.20503998616923,19.7982979041144,0.0746258503401361
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_3_sweep_4.wav,2.03789115646259,-2.20620881736564,19.8157094753824,0.0746258503401361
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_4_sweep_1.wav,2.27198412698413,1.40485636087473,21.5680708477054,0.0417687074829932
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_4_sweep_2.wav,2.31883219954649,1.40039549016802,21.6009667618677,0.0417687074829932
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_4_sweep_3.wav,2.30130385487528,1.3969443917037,21.592288052467,0.0417687074829932
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_4_sweep_4.wav,2.30053287981859,1.4021564482695,21.7377469303489,0.0417687074829932
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_5_sweep_1.wav,2.03155328798186,1.66532337559867,21.2848558367701,0.0419727891156463
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_5_sweep_2.wav,1.97646258503401,1.66623016861875,21.3749580962582,0.0419727891156463
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_5_sweep_3.wav,2.0159410430839,1.6673900988135,21.3435405545289,0.0420408163265306
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_0_numComb_1_mic_5_sweep_4.wav,2.03066893424036,1.6669613080065,21.4337316472127,0.0420408163265306
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_1_sweep_2.wav,2.82765306122449,-3.29939563722021,18.9009947907786,0.0871428571428571
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_1_sweep_3.wav,2.49107709750567,-3.30211768793429,18.8918343154077,0.0870748299319728
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_1_sweep_4.wav,2.46580498866213,-3.29923350924461,18.9206834096734,0.0870748299319728
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_1_sweep_5.wav,2.46952380952381,-3.29521381450522,18.9109032831601,0.0871428571428571
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_2_sweep_2.wav,2.81333333333333,-5.28267011878171,18.9133055356299,0.103673469387755
/Users/joanna.luberadzka/Documents/Data/IR_Arni_upload_numClosed_0-5/IR_numClosed_1_numComb_100_mic_2_sweep_3.wav,2.60597505668934,-5.29207296911455,18.895654512776,0.103537414965986
